iter,loss,best,lam,force,beta,h16,h32,h64,h128,h256,h512,age,secs
0,0.012444,0.012444,-0.200,12.00,0.351,0.021628,0.016252,0.012069,0.010153,0.010266,0.011587,2,11
50,0.009696,0.009402,-0.015,13.93,0.398,0.018610,0.013088,0.009566,0.008685,0.009601,0.011509,89,332
100,0.007855,0.007855,-0.012,16.02,0.427,0.016924,0.011211,0.008033,0.007348,0.008444,0.011004,153,620
150,0.007349,0.007098,0.042,17.36,0.451,0.015918,0.010081,0.006954,0.006351,0.006763,0.008542,211,897
200,0.007087,0.006263,0.054,19.05,0.477,0.014825,0.009148,0.006266,0.005824,0.007337,0.009902,239,1173
250,0.008815,0.005610,0.060,20.45,0.477,0.014462,0.008815,0.005917,0.005466,0.006171,0.007955,261,1444
300,0.006123,0.005398,-0.036,21.53,0.491,0.013958,0.008442,0.005620,0.005533,0.007074,0.007932,270,1721
350,0.007771,0.005070,0.040,22.63,0.494,0.013775,0.008370,0.005349,0.004681,0.005838,0.011341,280,2002
400,0.004942,0.004684,0.124,23.54,0.510,0.013745,0.008344,0.005123,0.004703,0.005932,0.008813,269,2285
450,0.005664,0.004213,0.064,24.69,0.513,0.013454,0.008191,0.004738,0.004652,0.006910,0.014279,223,2562
500,0.004833,0.004213,0.117,25.27,0.511,0.013437,0.008352,0.004680,0.004323,0.006061,0.010116,252,2833
550,0.004203,0.004115,0.100,25.76,0.510,0.013462,0.008398,0.004542,0.004050,0.004836,0.008276,252,3096
600,0.004018,0.003901,0.108,27.01,0.524,0.013196,0.008128,0.004128,0.003959,0.005262,0.007462,228,3368
